"","X","Y","Al","Co","Fe","Filler","Mg","Ni","Hard","Lcode","subset"
"25",1325,625,5.2,0.001,38.7,55.9,0.18,0.019,3,"FZ","training"
"54",1300,600,8.1,0.003,3.3,87.383,1.17,0.044,3,"FZ","training"
"78",1275,675,4.8,0.039,41.2,52.837,0.66,0.464,3,"FZ","training"
"102",1275,625,6.4,0.032,28.3,63.511,1.25,0.507,2,"FZ","training"
"125",1275,575,2.6,0.015,34,61.762,1.19,0.433,1,"FZ","training"
"161",1250,700,7.8,0.013,31.4,60.174,0.45,0.163,2,"FZ","training"
"186",1250,650,8,0.012,20.6,70.338,0.93,0.12,3,"FZ","training"
"211",1250,550,3,0.013,22.6,72.021,1.98,0.386,2,"FZ","training"
"235",1225,775,5.8,0.007,24.8,67.106,2.09,0.197,1,"FZ","training"
"260",1225,675,5.5,0.027,40.8,52.909,0.32,0.444,3,"FZ","training"
"287",1225,625,6.8,0.02,41.7,50.567,0.51,0.403,1,"FZ","training"
"308",1225,575,6.8,0.026,28.8,62.169,1.8,0.405,3,"FZ","training"
"323",1225,525,5.5,0.038,27.3,62.44,4.15,0.572,2,"FZ","training"
"346",1200,800,3,0.011,5.7,79.304,11.7,0.285,2,"FZ","training"
"370",1200,750,7.4,0.007,24.8,67.146,0.48,0.167,2,"FZ","training"
"399",1200,700,10.1,0.013,34.2,55.195,0.22,0.272,3,"FZ","training"
"428",1200,650,8.6,0.024,43.6,46.902,0.48,0.394,2,"FZ","training"
"456",1200,600,8.3,0.018,19.1,66.355,5.82,0.407,3,"SA","training"
"474",1200,550,2.8,0.057,15.7,77.906,2.76,0.777,2,"SA","training"
"493",1200,500,6.2,0.013,28.9,63.577,1.14,0.17,2,"FZ","training"
"547",1175,725,7.4,0.01,34.1,57.966,0.3,0.224,3,"FZ","training"
"574",1175,625,6.1,0.028,48,44.832,0.7,0.34,2,"FZ","training"
"602",1175,575,10,0.009,17.7,71.628,0.49,0.173,2,"FZ","training"
"616",1175,475,2.9,0.035,17.1,76.178,3.15,0.637,1,"FZ","training"
"631",1150,750,1.7,0.015,6.7,79.065,12.1,0.42,2,"SM","training"
"657",1150,700,9.7,0.032,30.8,58.926,0.21,0.332,1,"FZ","training"
"685",1150,650,8.8,0.014,29.9,60.871,0.18,0.235,2,"FZ","training"
"716",1150,600,9.1,0.009,12.6,77.659,0.52,0.112,3,"FZ","training"
"737",1150,550,7.2,0.03,38.1,54.102,0.24,0.328,3,"FZ","training"
"768",1150,450,5.6,0.036,38.6,54.702,0.55,0.512,3,"FZ","training"
"794",1125,675,9,0.023,37.5,52.96,0.16,0.357,3,"FZ","training"
"822",1125,625,10.3,0.01,34.8,54.477,0.21,0.203,3,"FZ","training"
"851",1125,575,9.2,0.017,37.9,52.496,0.17,0.217,3,"FZ","training"
"876",1125,525,7.2,0.024,39.6,52.557,0.34,0.279,3,"FZ","training"
"889",1100,750,2.6,0.018,15.2,74.135,7.64,0.407,2,"SM","training"
"908",1100,700,6.4,0.026,39.9,52.645,0.28,0.749,2,"FZ","training"
"936",1100,650,8.6,0.013,38.7,52.236,0.17,0.281,3,"FZ","training"
"962",1100,550,8.3,0.013,27.9,63.375,0.29,0.122,2,"FZ","training"
"986",1100,500,7.8,0.029,38.1,53.477,0.23,0.364,3,"FZ","training"
"991",1075,775,6.8,0.002,3,89.553,0.61,0.035,1,"FZ","training"
"1001",1075,725,0.7,0.026,10.8,71.227,16.4,0.847,1,"SM","training"
"1016",1075,675,9.5,0.032,31.5,58.109,0.3,0.559,3,"FZ","training"
"1045",1075,625,8.7,0.011,39,51.894,0.13,0.265,2,"FZ","training"
"1075",1075,575,6.4,0.029,45,47.993,0.28,0.298,2,"FZ","training"
"1104",1075,525,6.8,0.014,35.3,57.35,0.35,0.186,3,"FZ","training"
"1133",1075,475,7.2,0.042,46.8,45.315,0.27,0.373,3,"FZ","training"
"1142",1050,800,4.61,0.006,9.64,82.353,3.26,0.131,0,"FZ","training"
"1154",1050,750,0.4,0.015,6.3,76.327,16.5,0.458,3,"UM","training"
"1179",1050,650,7.2,0.039,42.4,49.709,0.19,0.462,1,"FZ","training"
"1226",1050,500,3.1,0.032,38.7,55.938,1.08,1.15,2,"FZ","training"
"1257",1025,675,2,0.014,30.5,64.796,1.18,1.51,2,"FZ","training"
"1287",1025,625,10.5,0.012,26.6,62.402,0.35,0.136,2,"FZ","training"
"1317",1025,575,5.1,0.014,40.8,53.616,0.25,0.22,2,"FZ","training"
"1346",1025,525,8.2,0.003,24.4,67.073,0.29,0.034,3,"FZ","training"
"1374",1025,475,8.9,0.024,39.7,50.588,0.42,0.368,2,"FZ","training"
"1403",1000,700,1.1,0.11,15.7,68.6,12.9,1.59,2,"SM","training"
"1431",1000,650,4.2,0.547,24.4,67.953,1.1,1.8,2,"FZ","training"
"1461",1000,550,8.6,0.01,33.3,57.827,0.13,0.133,3,"FZ","training"
"1488",1000,500,10.8,0.005,33.1,55.644,0.36,0.091,2,"FZ","training"
"1496",1000,450,8.7,0.103,4.2,81.413,5.2,0.384,2,"SM","training"
"1522",975,675,0.7,0.033,8.9,72.419,17,0.948,2,"SM","training"
"1550",975,625,8.1,0.028,31.4,59.88,0.24,0.352,3,"FZ","training"
"1580",975,575,8.5,0.003,22.3,69.026,0.13,0.041,3,"FZ","training"
"1607",975,425,5.9,0.004,2.6,86.459,4.99,0.047,1,"SM","training"
"1619",950,750,1.1,0.018,7.1,72.699,18.6,0.483,2,"SM","training"
"1634",950,700,3.3,0.022,17.4,73.055,5.41,0.813,1,"SM","training"
"1652",950,650,1.7,0.107,22.5,73.283,1.09,1.32,2,"FZ","training"
"1679",950,600,7.8,0.012,31.3,60.564,0.14,0.184,3,"FZ","training"
"1707",950,500,6.1,0.023,29.3,63.97,0.3,0.307,1,"FZ","training"
"1730",950,450,9.4,0.003,20.5,69.62,0.43,0.047,1,"FZ","training"
"1735",925,725,1.7,0.015,7.5,74.971,15.4,0.414,2,"UM","training"
"1762",925,625,6.9,0.004,18.5,74.285,0.23,0.081,3,"FZ","training"
"1791",925,575,9,0.007,24.4,66.333,0.14,0.12,1,"FZ","training"
"1816",925,525,9,0.006,18.4,72.074,0.4,0.12,1,"FZ","training"
"1827",925,475,0.9,0.044,12.5,77.84,7.86,0.856,3,"UM","training"
"1839",900,700,1,0.031,9.2,77.161,11.9,0.708,2,"SM","training"
"1855",900,650,1.2,0.042,10.2,69.148,18.4,1.01,2,"SM","training"
"1873",900,600,8.2,0.005,21.2,70.271,0.25,0.074,2,"FZ","training"
"1898",900,550,11.1,0.008,32.1,56.087,0.59,0.115,2,"FZ","training"
"1925",900,500,9.9,0.002,20.3,69.154,0.61,0.034,3,"FZ","training"
"1948",900,450,10.2,0.003,1.7,87.689,0.32,0.088,1,"FZ","training"
"1960",900,400,2,0.221,15.2,69.079,12.3,1.2,1,"SM","training"
"1976",875,675,1.4,0.101,10.4,76.699,10.2,1.2,3,"SM","training"
"2003",875,625,3.3,0.027,31.7,62.083,1.38,1.51,1,"SM","training"
"2032",875,575,7.6,0.013,32.9,59.226,0.08,0.181,1,"FZ","training"
"2060",875,525,5.9,0.01,40.9,52.815,0.2,0.175,1,"FZ","training"
"2087",875,425,12.09,0.02,27.33,60.141,0.17,0.249,0,"FZ","training"
"2103",850,750,3.44,0.007,5.67,79.166,11.53,0.187,0,"SM","training"
"2117",850,700,1.3,0.019,9.1,72.907,15.9,0.774,2,"SM","training"
"2145",850,650,1.4,0.322,13.4,80.838,2.53,1.51,1,"SM","training"
"2173",850,600,11,0.033,46,42.456,0.17,0.341,0,"FZ","training"
"2202",850,550,7.2,0.02,27.1,65.285,0.17,0.225,2,"FZ","training"
"2227",850,500,0.9,0.032,8.4,81.383,8.41,0.875,1,"SM","training"
"2248",850,450,7.1,0.073,30.2,61.96,0.29,0.377,2,"FZ","training"
"2278",850,400,8.1,0.006,24,67.544,0.12,0.23,2,"FZ","training"
"2287",850,350,8.4,0.024,6.8,75.921,8.7,0.155,2,"UM","training"
"2314",825,625,11.8,0.027,36.4,50.821,0.6,0.352,1,"FZ","training"
"2345",825,575,5.9,0.038,48.1,45.326,0.32,0.316,2,"FZ","training"
"2364",825,475,0.4,0.016,6.7,84.426,8.03,0.428,3,"UM","training"
"2392",825,375,6.5,0.01,30.5,62.646,0.08,0.264,2,"FZ","training"
"2406",825,325,3.2,0.011,5.8,78.976,11.9,0.113,3,"UM","training"
"2419",800,700,2,0.081,8.8,73.865,14.3,0.954,1,"SM","training"
"2446",800,600,5.7,0.023,39.3,54.393,0.24,0.344,2,"FZ","training"
"2477",800,500,1.22,0.053,7.09,89.251,1.9,0.486,0,"SM","training"
"2491",800,450,0.5,0.023,6.8,84.303,7.72,0.654,1,"SM","training"
"2515",800,400,8.9,0.032,34.3,56.072,0.16,0.536,1,"FZ","training"
"2541",800,350,7.3,0.026,28.98,63.025,0.35,0.319,0,"FZ","training"
"2549",775,725,0.7,0.01,7.4,81.996,9.54,0.354,1,"SA","training"
"2575",775,675,9.45,0.01,28.42,61.591,0.19,0.339,0,"SA","training"
"2604",775,625,8.5,0.028,26.9,64.111,0.2,0.261,2,"FZ","training"
"2635",775,575,9.8,0.016,33,56.637,0.34,0.207,2,"FZ","training"
"2665",775,525,12.8,0.003,6.5,80.472,0.19,0.035,1,"FZ","training"
"2676",775,475,0.4,0.014,5.1,74.074,19.9,0.512,2,"SM","training"
"2697",775,425,12.4,0.019,20.3,66.274,0.61,0.397,1,"FZ","training"
"2723",775,375,8,0.061,40.6,50.373,0.39,0.576,1,"SA","training"
"2738",775,325,1.2,0.018,8,73.509,16.5,0.773,2,"SM","training"
"2759",750,700,7.8,0.023,38.3,52.99,0.35,0.537,1,"FZ","training"
"2779",750,650,6.7,0.035,41.9,50.451,0.35,0.564,2,"FZ","training"
"2808",750,550,5.7,0.005,24.2,69.948,0.1,0.047,1,"SA","training"
"2831",750,450,0.4,0.034,8.2,82.74,7.63,0.996,1,"SM","training"
"2850",750,400,1,0.079,25.2,63.391,8.73,1.6,1,"SM","training"
"2865",725,725,8.4,0.005,19.8,70.704,0.88,0.211,1,"FZ","training"
"2891",725,675,9.5,0.01,21.5,68.655,0.19,0.145,2,"FZ","training"
"2918",725,625,6,0.091,38.4,53.996,0.54,0.973,1,"FZ","training"
"2945",725,575,2.8,0.009,22,72.031,1.6,1.56,0,"SA","training"
"2976",725,525,9,0.005,25.6,64.97,0.37,0.055,1,"SA","training"
"2994",725,475,2.5,0.376,11.2,81.674,2.39,1.86,1,"SA","training"
"3010",725,425,1.18,0.09,14.48,81.19,1.99,1.07,0,"SA","training"
"3029",725,375,1.1,0.026,10.9,76.125,11,0.849,1,"SM","training"
"3060",725,325,5.6,0.036,42.6,50.616,0.51,0.638,2,"FZ","training"
"3080",725,275,2.18,0.039,10.77,81.214,5.34,0.457,0,"SM","training"
"3098",700,750,7,0.001,3.9,88.705,0.38,0.014,1,"SM","training"
"3104",700,700,6.7,0.001,3.2,89.913,0.17,0.016,3,"FZ","training"
"3131",700,600,4.2,0.606,28.9,62.854,1.71,1.73,1,"SA","training"
"3156",700,500,6.8,0.022,30.7,61.422,0.63,0.426,1,"FZ","training"
"3179",700,450,0.6,0.036,12.7,72.281,13.4,0.983,1,"SM","training"
"3197",700,400,7.1,0.079,35.9,55.65,0.76,0.511,1,"FZ","training"
"3219",700,350,7.5,0.174,26.7,64.487,0.43,0.709,1,"FZ","training"
"3238",700,250,5.2,0.011,4.8,87.258,2.57,0.161,1,"FZ","training"
"3264",675,625,7.1,0.034,37.6,54.261,0.3,0.705,1,"FZ","training"
"3294",675,575,0.9,0.144,10.5,70.376,17,1.08,1,"SM","training"
"3327",675,525,13.4,0.01,15,71.25,0.26,0.08,1,"FZ","training"
"3355",675,475,1.4,0.241,10.1,73.299,13.4,1.56,1,"SM","training"
"3368",675,425,0.6,0.015,6.2,82.444,10.2,0.541,2,"UM","training"
"3398",675,375,6,0.036,37.2,55.961,0.25,0.553,1,"FZ","training"
"3423",675,325,9.9,0.119,30.5,58.264,0.53,0.687,1,"FZ","training"
"3452",675,275,7.5,0.03,39.4,52.181,0.44,0.449,1,"FZ","training"
"3462",650,700,0.9,0.029,9.7,69.737,18.8,0.834,2,"SM","training"
"3490",650,650,9.2,0.027,29.6,60.171,0.37,0.632,1,"FZ","training"
"3518",650,600,1,0.441,7.6,80.803,9.16,0.996,1,"SM","training"
"3540",650,550,5.3,0.232,15.5,70.558,6.33,2.08,2,"FZ","training"
"3572",650,500,4.47,0.026,38.19,56.797,0.14,0.377,0,"FZ","training"
"3585",650,450,0.9,0.032,11.1,75.438,11.5,1.03,1,"SM","training"
"3614",650,400,0.4,0.015,6.2,81.757,11.1,0.528,2,"SM","training"
"3645",650,350,7.03,0.031,28.91,63.564,0.14,0.325,0,"SA","training"
"3674",650,300,7.3,0.043,37.7,53.772,0.36,0.825,1,"FZ","training"
"3701",625,675,2.4,0.427,22.7,69.613,3.02,1.84,1,"SA","training"
"3718",625,625,3,0.754,28.4,63.626,1.91,2.31,1,"SA","training"
"3743",625,575,6.5,0.031,43,49.705,0.16,0.604,2,"FZ","training"
"3777",625,525,7.7,0.03,43.8,47.768,0.27,0.432,1,"FZ","training"
"3796",625,425,0.4,0.016,6.4,83.153,9.37,0.661,2,"SM","training"
"3813",625,375,0.6,0.016,6.4,80.117,12.5,0.367,2,"SM","training"
"3840",625,325,9.8,0.019,22.8,66.806,0.35,0.225,1,"FZ","training"
"3851",625,275,11.2,0.182,17.9,69.621,0.33,0.767,1,"SA","training"
"3879",625,175,2.7,0.055,20,68.958,7.7,0.587,1,"SM","training"
"3905",600,700,0.62,0.019,7.69,76.912,14.04,0.719,0,"SM","training"
"3932",600,650,0.5,0.039,6.3,81.311,10.8,1.05,2,"SM","training"
"3961",600,600,6.2,0.036,35,57.075,0.76,0.929,1,"FZ","training"
"3993",600,550,9.1,0.029,34.9,55.434,0.18,0.357,1,"FZ","training"
"4028",600,500,6.8,0.014,46.5,46.398,0.09,0.198,1,"FZ","training"
"4060",600,450,6.3,0.035,39.9,52.98,0.25,0.535,1,"FZ","training"
"4072",600,400,0.4,0.013,6.9,80.628,11.7,0.359,2,"SM","training"
"4092",600,350,3.4,0.039,16.1,69.411,10,1.05,1,"FZ","training"
"4119",600,300,8.6,0.017,37.5,53.314,0.2,0.369,3,"FZ","training"
"4147",600,250,7.8,0.038,37.5,53.843,0.29,0.529,1,"SA","training"
"4179",600,200,8.5,0.015,21.9,67.215,1.91,0.46,1,"FZ","training"
"4194",600,150,1.52,0.02,7.98,77.418,12.71,0.352,0,"SM","training"
"4210",575,725,2.9,0.011,7.9,75.623,13.3,0.266,2,"UM","training"
"4226",575,625,0.8,0.062,8.1,73.715,16.4,0.923,1,"SM","training"
"4257",575,575,9.1,0.059,34.7,55.399,0.16,0.582,1,"FZ","training"
"4291",575,475,15,0.004,9.4,75.322,0.22,0.054,1,"FZ","training"
"4320",575,425,6.4,0.022,39,54.231,0.08,0.267,0,"FZ","training"
"4333",575,375,0.6,0.014,6.9,72.914,19,0.572,2,"SM","training"
"4351",575,325,1.1,0.056,12.5,78.818,6.7,0.826,2,"UM","training"
"4366",575,275,11.2,0.033,24.8,63.317,0.2,0.45,2,"SA","training"
"4395",575,225,9.3,0.601,27.5,61.497,0.23,0.872,1,"FZ","training"
"4418",550,700,0.8,0.032,9.7,78.771,10.1,0.597,2,"SM","training"
"4429",550,650,0.8,0.021,7.8,75.313,15.3,0.766,3,"UM","training"
"4459",550,600,7.2,0.024,38.2,53.52,0.45,0.606,1,"FZ","training"
"4491",550,550,5.8,0.193,33.2,58.617,0.85,1.34,1,"FZ","training"
"4524",550,500,12.4,0.003,10.8,76.557,0.19,0.05,1,"FZ","training"
"4555",550,450,11.7,0.004,22,65.979,0.24,0.077,1,"FZ","training"
